id,query,success,error
20,"select circuits_1.circuitref, circuits_1.alt, circuits_1.lng, circuits_1.lat, circuits_1.circuitid, circuits_1.alt from circuits as circuits_1 where circuits_1.country is not NULL limit 21;",YES,""
21,"select constructors_1.name, races_1.round from drivers as drivers_1 inner join constructors as constructors_1 on (drivers_1.driverid = constructors_1.constructorid ) inner join qualifying as qualifying_1 on (drivers_1.driverid = qualifying_1.qualifyid ) inner join races as races_1 inner join results as results_1 on (races_1.raceid = results_1.resultid ) on (qualifying_1.qualifyid = races_1.raceid ) inner join races as races_2 inner join circuits as circuits_1 on (races_2.raceid = circuits_1.circuitid ) on (qualifying_1.qualifyid = circuits_1.circuitid ) where qualifying_1.date is not NULL limit 41;",YES,""
22,"select constructors_1.constructorid, constructors_1.name, max( constructors_1.nationality) from constructors as constructors_1 inner join constructor_results as constructor_results_1 on (constructors_1.constructorid = constructor_results_1.constructorresultsid ) where constructors_1.constructorid is not NULL group by constructors_1.constructorid, constructors_1.name limit 34;",YES,""
23,"select qualifying_1.raceid, qualifying_1.driverid, qualifying_1.number from qualifying as qualifying_1 where qualifying_1.position is not NULL limit 38;",YES,""
24,"select results_1.date, results_1.positionorder from results as results_1 inner join standings as standings_1 on (results_1.resultid = standings_1.driverstandingsid ) where results_1.grid is not NULL limit 7;",YES,""
25,"select drivers_1.driverref, constructor_results_1.date, constructor_results_1.constructorresultsid, constructor_results_1.date, races_1.date, drivers_1.nationality, avg( constructor_results_1.points), drivers_1.dob, standings_1.date, races_1.circuitid, drivers_1.surname, standings_1.date, constructor_results_1.constructorid, max( drivers_1.nationality), constructor_results_1.points, constructor_results_1.date, races_1.name, constructor_results_1.date, standings_1.wins, drivers_1.nationality, standings_1.wins, standings_1.driverid, constructor_results_1.points, races_1.time from constructor_results as constructor_results_1 inner join races as races_1 on (constructor_results_1.constructorresultsid = races_1.raceid ) inner join standings as standings_1 on (races_1.raceid = standings_1.driverstandingsid ) inner join drivers as drivers_1 on (constructor_results_1.constructorresultsid = drivers_1.driverid ) where drivers_1.surname > drivers_1.code group by drivers_1.driverref, constructor_results_1.date, constructor_results_1.constructorresultsid, constructor_results_1.date, races_1.date, drivers_1.nationality, drivers_1.dob, standings_1.date, races_1.circuitid, drivers_1.surname, standings_1.date, constructor_results_1.constructorid, constructor_results_1.points, constructor_results_1.date, races_1.name, constructor_results_1.date, standings_1.wins, drivers_1.nationality, standings_1.wins, standings_1.driverid, constructor_results_1.points, races_1.time limit 5;",YES,""
26,"select constructor_results_1.points, count( drivers_1.driverid), constructor_results_3.constructorresultsid, max( constructors_1.name), constructor_results_1.points, constructor_results_2.raceid, results_1.resultid, constructor_results_1.date from constructors as constructors_1 inner join drivers as drivers_1 on (constructors_1.constructorid = drivers_1.driverid ) inner join constructor_results as constructor_results_1 inner join results as results_1 on (constructor_results_1.constructorresultsid = results_1.resultid ) inner join constructor_results as constructor_results_2 inner join constructor_results as constructor_results_3 on (constructor_results_2.constructorresultsid = constructor_results_3.constructorresultsid ) on (constructor_results_1.constructorresultsid = constructor_results_3.constructorresultsid ) on (drivers_1.driverid = constructor_results_3.constructorresultsid ) where drivers_1.code is not NULL group by constructor_results_1.points, constructor_results_3.constructorresultsid, constructor_results_1.points, constructor_results_2.raceid, results_1.resultid, constructor_results_1.date limit 9;",YES,""
27,"select qualifying_1.raceid, standings_1.points, standings_1.driverid, min( qualifying_1.number), standings_1.points, standings_1.points, qualifying_1.raceid, qualifying_1.date, min( qualifying_1.date), qualifying_1.qualifyid, standings_1.raceid from qualifying as qualifying_1 inner join standings as standings_1 on (qualifying_1.qualifyid = standings_1.driverstandingsid ) where standings_1.points >= standings_1.points group by qualifying_1.raceid, standings_1.points, standings_1.driverid, standings_1.points, standings_1.points, qualifying_1.raceid, qualifying_1.date, qualifying_1.qualifyid, standings_1.raceid limit 29;",YES,""
28,"select standings_1.raceid, count(*), qualifying_1.date, qualifying_2.qualifyid, qualifying_2.qualifyid from qualifying as qualifying_1 inner join standings as standings_1 on (qualifying_1.qualifyid = standings_1.driverstandingsid ) inner join qualifying as qualifying_2 on (standings_1.driverstandingsid = qualifying_2.qualifyid ) where qualifying_1.raceid is not NULL group by standings_1.raceid, qualifying_1.date, qualifying_2.qualifyid, qualifying_2.qualifyid limit 9;",YES,""
29,"select circuits_1.lat, circuits_1.name, standings_1.driverid, standings_1.driverstandingsid, circuits_1.circuitid, circuits_1.lng, standings_1.position, circuits_1.country, min( standings_1.date), standings_1.driverid, min( circuits_1.circuitref), avg( circuits_1.lng), standings_1.points, min( circuits_1.alt), standings_1.date, circuits_1.name, circuits_1.country, min( circuits_1.name), circuits_1.location from standings as standings_1 inner join circuits as circuits_1 on (standings_1.driverstandingsid = circuits_1.circuitid ) where circuits_1.country = circuits_1.location group by circuits_1.lat, circuits_1.name, standings_1.driverid, standings_1.driverstandingsid, circuits_1.circuitid, circuits_1.lng, standings_1.position, circuits_1.country, standings_1.driverid, standings_1.points, standings_1.date, circuits_1.name, circuits_1.country, circuits_1.location limit 2;",YES,""
30,"select drivers_1.driverref, drivers_1.surname, circuits_1.circuitid, sum( circuits_1.alt), drivers_1.dob, drivers_1.driverid, circuits_1.country, races_1.circuitid, circuits_1.lat, circuits_1.name, circuits_1.lng, circuits_1.circuitref, drivers_1.driverid, races_1.round from drivers as drivers_1 inner join races as races_1 on (drivers_1.driverid = races_1.raceid ) inner join circuits as circuits_1 on (drivers_1.driverid = circuits_1.circuitid ) where circuits_1.circuitid is not NULL group by drivers_1.driverref, drivers_1.surname, circuits_1.circuitid, drivers_1.dob, drivers_1.driverid, circuits_1.country, races_1.circuitid, circuits_1.lat, circuits_1.name, circuits_1.lng, circuits_1.circuitref, drivers_1.driverid, races_1.round limit 15;",YES,""
31,"select constructor_standings_1.wins, avg( constructor_standings_1.constructorid), constructor_standings_1.wins, constructor_standings_1.points, constructor_standings_1.constructorid, constructor_standings_1.points, constructor_standings_1.raceid, constructor_standings_1.constructorid, constructor_standings_1.position from constructor_standings as constructor_standings_1 where constructor_standings_1.constructorid = constructor_standings_1.constructorstandingsid group by constructor_standings_1.wins, constructor_standings_1.wins, constructor_standings_1.points, constructor_standings_1.constructorid, constructor_standings_1.points, constructor_standings_1.raceid, constructor_standings_1.constructorid, constructor_standings_1.position limit 42;",YES,""
32,"select qualifying_1.date, qualifying_1.qualifyid, min( qualifying_1.driverid), qualifying_1.number, avg( qualifying_1.constructorid), qualifying_1.number, qualifying_1.date, qualifying_1.raceid, qualifying_1.position, qualifying_1.raceid from qualifying as qualifying_1 where qualifying_1.constructorid is not NULL group by qualifying_1.date, qualifying_1.qualifyid, qualifying_1.number, qualifying_1.number, qualifying_1.date, qualifying_1.raceid, qualifying_1.position, qualifying_1.raceid limit 40;",YES,""
33,"select circuits_1.name from circuits as circuits_1 where circuits_1.alt < circuits_1.lat limit 38;",YES,""
34,"select constructor_results_1.raceid, constructor_results_1.raceid, constructor_results_1.constructorid, min( constructor_results_1.points) from constructor_results as constructor_results_1 where constructor_results_1.constructorid is not NULL group by constructor_results_1.raceid, constructor_results_1.raceid, constructor_results_1.constructorid limit 23;",YES,""
35,"select races_1.round, races_1.date, races_1.name, races_1.raceid, races_1.date, races_1.date, count(*), races_1.date from races as races_1 where races_1.name is not NULL group by races_1.round, races_1.date, races_1.name, races_1.raceid, races_1.date, races_1.date, races_1.date limit 28;",YES,""
36,"select min( results_1.date), results_1.rank, results_1.position, results_1.driverid, results_1.resultid, results_1.laps, results_1.position, qualifying_1.qualifyid, qualifying_1.qualifyid, qualifying_1.date, qualifying_1.driverid from qualifying as qualifying_1 inner join results as results_1 on (qualifying_1.qualifyid = results_1.resultid ) where results_1.rank is not NULL group by results_1.rank, results_1.position, results_1.driverid, results_1.resultid, results_1.laps, results_1.position, qualifying_1.qualifyid, qualifying_1.qualifyid, qualifying_1.date, qualifying_1.driverid limit 3;",YES,""
37,"select results_1.constructorid, results_1.laps from results as results_1 where results_1.fastestlap is not NULL limit 10;",YES,""
38,"select distinct races_1.raceid, races_1.circuitid, races_1.raceid, races_1.date, races_1.year, races_1.raceid from races as races_1 where races_1.round is not NULL limit 12;",YES,""
39,"select races_1.raceid, races_1.name, races_1.circuitid, races_1.name from races as races_1 where races_1.date < races_1.date limit 18;",YES,""
40,"select constructor_standings_1.raceid, constructor_standings_1.constructorid, constructor_standings_1.raceid, constructor_standings_1.wins, constructor_standings_1.wins, constructor_standings_1.constructorstandingsid, constructor_standings_1.raceid, constructor_standings_1.constructorid, constructor_standings_1.constructorid, constructor_standings_1.points from constructor_standings as constructor_standings_1 where constructor_standings_1.position < constructor_standings_1.raceid limit 27;",YES,""
41,"select drivers_1.driverref, drivers_1.nationality, drivers_1.driverid from drivers as drivers_1 where drivers_1.nationality is not NULL limit 30;",YES,""
42,"select results_1.position, results_1.constructorid from results as results_1 where results_1.grid is not NULL limit 29;",YES,""
43,"select max( qualifying_1.date), qualifying_1.raceid, qualifying_1.raceid from qualifying as qualifying_1 where qualifying_1.raceid >= qualifying_1.constructorid group by qualifying_1.raceid, qualifying_1.raceid limit 36;",YES,""
44,"select qualifying_1.position, qualifying_1.position, avg( qualifying_1.qualifyid), qualifying_1.position, constructors_1.constructorid, max( qualifying_1.qualifyid), constructors_1.name, constructors_1.constructorref, qualifying_1.number, avg( constructors_1.constructorid), qualifying_1.constructorid, constructors_1.name from qualifying as qualifying_1 inner join constructors as constructors_1 on (qualifying_1.qualifyid = constructors_1.constructorid ) where qualifying_1.driverid < qualifying_1.qualifyid group by qualifying_1.position, qualifying_1.position, qualifying_1.position, constructors_1.constructorid, constructors_1.name, constructors_1.constructorref, qualifying_1.number, qualifying_1.constructorid, constructors_1.name limit 38;",YES,""
45,"select results_1.rank, count(*), results_1.fastestlap from results as results_1 where results_1.grid >= results_1.raceid group by results_1.rank, results_1.fastestlap limit 22;",YES,""
46,"select circuits_1.alt, circuits_1.name from circuits as circuits_1 where circuits_1.location >= circuits_1.circuitref limit 12;",YES,""
47,"select constructor_results_1.constructorresultsid, constructor_results_1.raceid, constructor_results_1.raceid, constructor_results_1.constructorid, constructor_results_1.constructorresultsid from constructor_results as constructor_results_1 where constructor_results_1.raceid is not NULL limit 8;",YES,""
48,"select drivers_1.dob, max( drivers_1.nationality), drivers_1.forename, min( drivers_1.dob), drivers_1.driverref from drivers as drivers_1 where drivers_1.nationality is not NULL group by drivers_1.dob, drivers_1.forename, drivers_1.driverref limit 5;",YES,""
49,"select races_1.raceid, circuits_1.circuitref, circuits_1.circuitref, races_1.year, races_1.round, races_1.time, circuits_1.country, races_1.date, circuits_1.circuitid, circuits_1.lat, circuits_1.country, circuits_1.location, count( circuits_1.name), circuits_1.circuitref from circuits as circuits_1 inner join races as races_1 on (circuits_1.circuitid = races_1.raceid ) where circuits_1.lng is not NULL group by races_1.raceid, circuits_1.circuitref, circuits_1.circuitref, races_1.year, races_1.round, races_1.time, circuits_1.country, races_1.date, circuits_1.circuitid, circuits_1.lat, circuits_1.country, circuits_1.location, circuits_1.circuitref limit 39;",YES,""
50,"select constructor_standings_1.points, constructor_standings_1.constructorstandingsid from constructor_standings as constructor_standings_1 where constructor_standings_1.constructorid is not NULL limit 32;",YES,""
51,"select avg( drivers_1.driverid), drivers_1.dob, min( drivers_1.nationality) from drivers as drivers_1 where drivers_1.nationality is not NULL group by drivers_1.dob limit 21;",YES,""
52,"select min( constructor_standings_1.date), constructor_standings_1.constructorstandingsid, constructor_standings_1.points, constructor_standings_1.wins, constructor_standings_1.position, constructor_standings_1.constructorstandingsid, constructor_standings_1.wins, constructor_standings_1.constructorid, constructor_standings_1.raceid from constructor_standings as constructor_standings_1 where constructor_standings_1.position is not NULL group by constructor_standings_1.constructorstandingsid, constructor_standings_1.points, constructor_standings_1.wins, constructor_standings_1.position, constructor_standings_1.constructorstandingsid, constructor_standings_1.wins, constructor_standings_1.constructorid, constructor_standings_1.raceid limit 19;",YES,""
53,"select results_1.raceid, results_1.statusid, results_1.position, standings_1.position, standings_1.raceid, count( results_1.constructorid), standings_1.wins, results_1.number, standings_1.driverstandingsid, results_1.milliseconds, standings_1.driverstandingsid, standings_1.wins, standings_1.points, results_1.resultid, standings_1.wins, max( results_1.date), count( standings_1.driverstandingsid), standings_1.raceid from results as results_1 inner join standings as standings_1 on (results_1.resultid = standings_1.driverstandingsid ) where results_1.date = standings_1.date group by results_1.raceid, results_1.statusid, results_1.position, standings_1.position, standings_1.raceid, standings_1.wins, results_1.number, standings_1.driverstandingsid, results_1.milliseconds, standings_1.driverstandingsid, standings_1.wins, standings_1.points, results_1.resultid, standings_1.wins, standings_1.raceid limit 7;",YES,""
54,"select results_1.constructorid from results as results_1 where results_1.grid is not NULL limit 18;",YES,""
55,"select avg( constructor_standings_1.points), constructor_standings_1.wins, races_1.date, constructor_standings_1.constructorstandingsid, races_1.name, races_1.raceid, races_1.year, constructor_standings_1.position, min( constructor_standings_1.points), min( races_1.time), races_1.year, races_1.time from constructor_standings as constructor_standings_1 inner join races as races_1 on (constructor_standings_1.constructorstandingsid = races_1.raceid ) where constructor_standings_1.points is not NULL group by constructor_standings_1.wins, races_1.date, constructor_standings_1.constructorstandingsid, races_1.name, races_1.raceid, races_1.year, constructor_standings_1.position, races_1.year, races_1.time limit 3;",YES,""
56,"select qualifying_1.constructorid, qualifying_1.driverid from qualifying as qualifying_1 where qualifying_1.constructorid is not NULL limit 35;",YES,""
57,"select constructor_results_1.raceid, constructor_results_1.points, constructor_results_1.constructorid from constructor_results as constructor_results_1 where constructor_results_1.constructorid is not NULL limit 37;",YES,""
58,"select results_2.date from results as results_1 inner join constructor_standings as constructor_standings_1 inner join results as results_2 inner join races as races_1 inner join standings as standings_1 on (races_1.raceid = standings_1.driverstandingsid ) on (results_2.resultid = races_1.raceid ) on (constructor_standings_1.constructorstandingsid = standings_1.driverstandingsid ) inner join qualifying as qualifying_1 on (standings_1.driverstandingsid = qualifying_1.qualifyid ) on (results_1.resultid = results_2.resultid ) where races_1.year <= constructor_standings_1.raceid limit 41;",YES,""
59,"select results_1.resultid from results as results_1 where results_1.positionorder is not NULL limit 18;",YES,""
60,"select results_1.fastestlap, results_1.number, results_1.points, min( results_1.statusid), results_1.statusid, results_1.date, max( results_1.statusid), results_1.positionorder, results_1.fastestlap, results_1.points, results_1.laps from results as results_1 where results_1.fastestlap = results_1.position group by results_1.fastestlap, results_1.number, results_1.points, results_1.statusid, results_1.date, results_1.positionorder, results_1.fastestlap, results_1.points, results_1.laps limit 13;",YES,""
61,"select races_1.raceid, races_1.time from races as races_1 where races_1.name is not NULL limit 26;",YES,""
62,"select constructor_results_1.date from constructor_results as constructor_results_1 where constructor_results_1.raceid is not NULL limit 35;",YES,""
63,"select constructors_1.constructorref, constructors_1.constructorid, constructors_1.constructorref, constructors_1.constructorid, count( constructors_1.nationality), constructors_1.nationality, constructors_1.constructorref from constructors as constructors_1 where constructors_1.constructorid >= constructors_1.constructorid group by constructors_1.constructorref, constructors_1.constructorid, constructors_1.constructorref, constructors_1.constructorid, constructors_1.nationality, constructors_1.constructorref limit 3;",YES,""
64,"select constructor_standings_1.points, constructor_standings_1.points, count(*), min( constructor_standings_1.date), constructor_standings_1.constructorstandingsid, constructor_standings_1.date, constructor_standings_1.wins, constructor_standings_1.constructorid, constructor_standings_1.wins, constructor_standings_1.points, constructor_standings_1.position from constructor_standings as constructor_standings_1 where constructor_standings_1.points = constructor_standings_1.points group by constructor_standings_1.points, constructor_standings_1.points, constructor_standings_1.constructorstandingsid, constructor_standings_1.date, constructor_standings_1.wins, constructor_standings_1.constructorid, constructor_standings_1.wins, constructor_standings_1.points, constructor_standings_1.position limit 20;",YES,""
65,"select circuits_1.location, circuits_1.alt, circuits_1.lat, min( circuits_1.location) from circuits as circuits_1 where circuits_1.location is not NULL group by circuits_1.location, circuits_1.alt, circuits_1.lat limit 8;",YES,""
66,"select circuits_1.circuitid, circuits_1.circuitref from circuits as circuits_1 where circuits_1.country is not NULL limit 22;",YES,""
67,"select qualifying_1.date from qualifying as qualifying_1 where qualifying_1.number is not NULL limit 19;",YES,""
68,"select races_1.time, races_1.raceid from races as races_1 where races_1.date >= races_1.date limit 35;",YES,""
69,"select standings_1.position from races as races_1 inner join standings as standings_1 on (races_1.raceid = standings_1.driverstandingsid ) where standings_1.wins is not NULL limit 39;",YES,""
70,"select races_1.circuitid, races_1.date from races as races_1 where races_1.circuitid is not NULL limit 6;",YES,""
71,"select standings_1.date, avg( results_1.laps) from standings as standings_1 inner join standings as standings_2 on (standings_1.driverstandingsid = standings_2.driverstandingsid ) inner join results as results_1 on (standings_2.driverstandingsid = results_1.resultid ) where results_1.number >= results_1.milliseconds group by standings_1.date limit 12;",YES,""
72,"select constructor_standings_1.position, circuits_1.name, min( circuits_1.circuitid), max( circuits_2.location), constructor_standings_1.raceid, avg( standings_1.raceid), standings_1.driverstandingsid, constructor_standings_1.date, constructor_standings_1.raceid from constructor_standings as constructor_standings_1 inner join circuits as circuits_1 inner join standings as standings_1 on (circuits_1.circuitid = standings_1.driverstandingsid ) on (constructor_standings_1.constructorstandingsid = standings_1.driverstandingsid ) inner join circuits as circuits_2 on (standings_1.driverstandingsid = circuits_2.circuitid ) where standings_1.points <= constructor_standings_1.points group by constructor_standings_1.position, circuits_1.name, constructor_standings_1.raceid, standings_1.driverstandingsid, constructor_standings_1.date, constructor_standings_1.raceid limit 10;",YES,""
73,"select circuits_1.country, circuits_1.circuitid, circuits_1.name, circuits_1.location, results_1.laps, circuits_1.circuitid, circuits_1.lng, circuits_1.lng, results_1.number, sum( results_1.raceid), results_1.positionorder, circuits_1.lng, circuits_1.name, results_1.milliseconds from circuits as circuits_1 inner join results as results_1 on (circuits_1.circuitid = results_1.resultid ) where results_1.points is not NULL group by circuits_1.country, circuits_1.circuitid, circuits_1.name, circuits_1.location, results_1.laps, circuits_1.circuitid, circuits_1.lng, circuits_1.lng, results_1.number, results_1.positionorder, circuits_1.lng, circuits_1.name, results_1.milliseconds limit 29;",YES,""
74,"select races_1.name, constructors_1.name, results_1.laps, races_1.raceid from results as results_1 inner join constructors as constructors_1 inner join races as races_1 on (constructors_1.constructorid = races_1.raceid ) on (results_1.resultid = constructors_1.constructorid ) where results_1.position is not NULL limit 25;",YES,""
75,"select qualifying_1.raceid, results_2.raceid, constructors_1.name, results_1.raceid, results_1.date, min( constructors_1.constructorref), results_2.points, qualifying_1.driverid, results_2.raceid, min( results_2.milliseconds), results_1.milliseconds, max( constructors_1.constructorref), avg( results_1.grid), results_2.driverid, results_1.points, avg( results_2.constructorid), sum( results_2.points), constructors_1.name, results_1.rank, constructors_1.constructorref, results_2.driverid, results_1.driverid from qualifying as qualifying_1 inner join results as results_1 inner join constructors as constructors_1 on (results_1.resultid = constructors_1.constructorid ) inner join standings as standings_1 on (results_1.resultid = standings_1.driverstandingsid ) inner join results as results_2 on (constructors_1.constructorid = results_2.resultid ) on (qualifying_1.qualifyid = results_1.resultid ) where results_1.points is not NULL group by qualifying_1.raceid, results_2.raceid, constructors_1.name, results_1.raceid, results_1.date, results_2.points, qualifying_1.driverid, results_2.raceid, results_1.milliseconds, results_2.driverid, results_1.points, constructors_1.name, results_1.rank, constructors_1.constructorref, results_2.driverid, results_1.driverid limit 10;",YES,""
76,"select results_1.driverid, circuits_1.alt, circuits_1.lat, circuits_1.name, max( circuits_1.name) from results as results_1 inner join circuits as circuits_1 on (results_1.resultid = circuits_1.circuitid ) where results_1.rank is not NULL group by results_1.driverid, circuits_1.alt, circuits_1.lat, circuits_1.name limit 13;",YES,""
77,"select sum( constructors_1.constructorid) from constructors as constructors_1 where constructors_1.name is not NULL limit 16;",YES,""
78,"select circuits_1.circuitid, circuits_1.lat from circuits as circuits_1 where circuits_1.location is not NULL limit 32;",YES,""
79,"select constructors_1.name from constructors as constructors_1 where constructors_1.constructorid is not NULL limit 31;",YES,""
80,"select count(*), count(*), races_1.circuitid, races_1.year, races_1.time, max( races_1.name) from races as races_1 where races_1.year < races_1.raceid group by races_1.circuitid, races_1.year, races_1.time limit 14;",YES,""
81,"select constructor_results_1.constructorresultsid, constructor_results_1.points, constructor_results_1.constructorid, min( constructor_results_1.date) from constructor_results as constructor_results_1 where constructor_results_1.date is not NULL group by constructor_results_1.constructorresultsid, constructor_results_1.points, constructor_results_1.constructorid limit 34;",YES,""
82,"select circuits_1.alt, circuits_1.name, circuits_1.circuitref from circuits as circuits_1 where circuits_1.circuitref <= circuits_1.location limit 2;",YES,""
83,"select constructor_results_1.constructorid, min( constructor_results_1.points), min( constructor_results_1.date), min( constructor_results_1.constructorid), min( constructor_results_1.raceid) from constructor_results as constructor_results_1 where constructor_results_1.raceid is not NULL group by constructor_results_1.constructorid limit 28;",YES,""
84,"select constructor_results_1.constructorresultsid from constructor_results as constructor_results_1 where constructor_results_1.raceid is not NULL limit 23;",YES,""
85,"select qualifying_1.date from qualifying as qualifying_1 where qualifying_1.position is not NULL limit 31;",YES,""
