id,query,success,error
35,"select max( nation_1.n_nationkey), nation_1.n_nationkey, nation_1.n_comment, supplier_1.s_phone, supplier_1.s_comment, nation_1.n_name, nation_1.n_regionkey, nation_1.n_nationkey, min( nation_1.n_regionkey), supplier_1.s_suppkey, nation_1.provsql, nation_1.n_nationkey, supplier_1.s_phone, nation_1.n_comment, min( nation_1.n_regionkey), supplier_1.s_address , provsql.sr_why(provsql.provenance(), 'provmap') from nation as nation_1 inner join supplier as supplier_1 on (nation_1.n_nationkey = supplier_1.s_suppkey ) where nation_1.provsql is not NULL group by nation_1.n_comment, nation_1.n_name, nation_1.n_nationkey, nation_1.n_regionkey, nation_1.provsql, supplier_1.s_address, supplier_1.s_comment, supplier_1.s_phone, supplier_1.s_suppkey limit 21;",YES,""
36,"select customer_1.c_address , provsql.sr_why(provsql.provenance(), 'provmap') from customer as customer_1 where customer_1.c_comment is not NULL limit 8;",YES,""
37,"select part_2.p_type, part_1.p_partkey , provsql.sr_why(provsql.provenance(), 'provmap') from customer as customer_1 inner join part as part_1 inner join part as part_2 on (part_1.p_partkey = part_2.p_partkey ) on (customer_1.c_custkey = part_2.p_partkey ) where customer_1.c_acctbal > part_2.p_retailprice limit 24;",YES,""
38,"select nation_1.provsql, max( nation_1.n_nationkey), nation_1.n_comment, nation_1.n_comment, nation_1.n_comment, nation_1.n_nationkey, min( nation_1.n_nationkey), max( nation_1.n_regionkey), nation_1.n_regionkey, nation_1.n_regionkey, nation_1.n_name, nation_1.n_name, nation_1.provsql, nation_1.n_nationkey, nation_1.n_name, nation_1.provsql, nation_1.n_comment , provsql.sr_why(provsql.provenance(), 'provmap') from nation as nation_1 where nation_1.n_name is not NULL group by nation_1.n_comment, nation_1.n_name, nation_1.n_nationkey, nation_1.n_regionkey, nation_1.provsql limit 41;",YES,""
39,"select nation_1.n_regionkey, nation_1.n_regionkey , provsql.sr_why(provsql.provenance(), 'provmap') from region as region_1 inner join nation as nation_1 on (region_1.r_regionkey = nation_1.n_nationkey ) where nation_1.n_regionkey is not NULL limit 27;",YES,""
40,"select nation_1.n_comment, lineitem_1.l_extendedprice, lineitem_1.l_comment, partsupp_1.ps_suppkey, supplier_1.s_phone, supplier_1.s_acctbal , provsql.sr_why(provsql.provenance(), 'provmap') from partsupp as partsupp_1 inner join lineitem as lineitem_1 inner join supplier as supplier_1 inner join nation as nation_1 on (supplier_1.s_suppkey = nation_1.n_nationkey ) on (lineitem_1.l_orderkey = nation_1.n_nationkey ) on (partsupp_1.ps_partkey = supplier_1.s_suppkey ) where partsupp_1.ps_availqty is not NULL limit 8;",YES,""
41,"select supplier_1.provsql, supplier_1.s_comment , provsql.sr_why(provsql.provenance(), 'provmap') from supplier as supplier_1 where supplier_1.provsql > supplier_1.provsql limit 23;",YES,""
42,"select lineitem_1.l_shipinstruct, min( lineitem_1.l_partkey) , provsql.sr_why(provsql.provenance(), 'provmap') from lineitem as lineitem_1 where lineitem_1.l_receiptdate = lineitem_1.l_commitdate group by lineitem_1.l_shipinstruct limit 8;",YES,""
43,"select supplier_1.s_comment, supplier_1.s_address, supplier_1.provsql, supplier_1.s_nationkey , provsql.sr_why(provsql.provenance(), 'provmap') from supplier as supplier_1 where supplier_1.s_address is not NULL limit 4;",YES,""
44,"select region_1.r_name, region_1.provsql , provsql.sr_why(provsql.provenance(), 'provmap') from region as region_1 where region_1.provsql is not NULL limit 8;",YES,""
45,"select nation_1.n_nationkey, nation_1.n_nationkey, nation_1.n_regionkey, nation_1.n_nationkey, nation_1.n_comment, nation_1.provsql , provsql.sr_why(provsql.provenance(), 'provmap') from nation as nation_1 where nation_1.n_comment is not NULL limit 28;",YES,""
46,"select orders_1.o_orderdate, orders_1.o_totalprice, max( orders_1.o_orderkey), orders_1.o_orderpriority, orders_1.o_comment, orders_1.provsql, orders_1.o_comment, orders_1.o_orderstatus, orders_1.o_orderkey, orders_1.o_orderpriority , provsql.sr_why(provsql.provenance(), 'provmap') from orders as orders_1 where orders_1.o_comment is not NULL group by orders_1.o_comment, orders_1.o_orderdate, orders_1.o_orderkey, orders_1.o_orderpriority, orders_1.o_orderstatus, orders_1.o_totalprice, orders_1.provsql limit 4;",YES,""
47,"select part_1.p_name, max( part_1.p_partkey), part_1.p_name, part_1.p_comment, nation_1.n_nationkey, min( nation_1.n_nationkey), nation_1.n_comment, part_1.p_retailprice, supplier_1.s_comment, part_1.p_partkey, min( supplier_1.s_nationkey), nation_1.provsql, supplier_1.s_comment , provsql.sr_why(provsql.provenance(), 'provmap') from nation as nation_1 inner join part as part_1 inner join supplier as supplier_1 on (part_1.p_partkey = supplier_1.s_suppkey ) on (nation_1.n_nationkey = part_1.p_partkey ) where supplier_1.s_nationkey is not NULL group by nation_1.n_comment, nation_1.n_nationkey, nation_1.provsql, part_1.p_comment, part_1.p_name, part_1.p_partkey, part_1.p_retailprice, supplier_1.s_comment limit 40;",YES,""
48,"select min( nation_1.n_nationkey), nation_1.n_name, nation_1.n_name , provsql.sr_why(provsql.provenance(), 'provmap') from nation as nation_1 where nation_1.n_name is not NULL group by nation_1.n_name limit 26;",YES,""
49,"select part_1.p_name , provsql.sr_why(provsql.provenance(), 'provmap') from supplier as supplier_1 inner join part as part_1 on (supplier_1.s_suppkey = part_1.p_partkey ) where part_1.p_container = part_1.p_mfgr limit 16;",YES,""
50,"select customer_1.c_nationkey , provsql.sr_why(provsql.provenance(), 'provmap') from customer as customer_1 where customer_1.c_mktsegment = customer_1.c_phone limit 2;",YES,""
51,"select nation_1.provsql, max( nation_1.n_regionkey), min( nation_1.n_nationkey), nation_1.n_nationkey, nation_1.n_nationkey, min( nation_1.n_regionkey), nation_1.n_regionkey, nation_1.n_comment, nation_1.n_nationkey, nation_1.n_name, nation_1.n_name, nation_1.n_nationkey, nation_1.n_regionkey , provsql.sr_why(provsql.provenance(), 'provmap') from nation as nation_1 where nation_1.provsql < nation_1.provsql group by nation_1.n_comment, nation_1.n_name, nation_1.n_nationkey, nation_1.n_regionkey, nation_1.provsql limit 27;",YES,""
52,"select lineitem_1.l_comment, lineitem_1.l_returnflag, lineitem_1.l_partkey, lineitem_1.l_suppkey, lineitem_1.l_tax, max( lineitem_1.l_orderkey), lineitem_1.l_quantity, lineitem_1.l_comment, min( lineitem_1.l_partkey) , provsql.sr_why(provsql.provenance(), 'provmap') from lineitem as lineitem_1 where lineitem_1.l_shipinstruct is not NULL group by lineitem_1.l_comment, lineitem_1.l_partkey, lineitem_1.l_quantity, lineitem_1.l_returnflag, lineitem_1.l_suppkey, lineitem_1.l_tax limit 41;",YES,""
53,"select max( customer_2.c_nationkey), customer_2.c_address, customer_1.c_custkey, lineitem_1.l_extendedprice , provsql.sr_why(provsql.provenance(), 'provmap') from customer as customer_1 inner join lineitem as lineitem_1 inner join lineitem as lineitem_2 inner join customer as customer_2 on (lineitem_2.l_orderkey = customer_2.c_custkey ) on (lineitem_1.l_orderkey = customer_2.c_custkey ) on (customer_1.c_custkey = customer_2.c_custkey ) where customer_2.c_comment is not NULL group by customer_1.c_custkey, customer_2.c_address, lineitem_1.l_extendedprice limit 19;",YES,""
54,"select part_1.provsql , provsql.sr_why(provsql.provenance(), 'provmap') from orders as orders_1 inner join partsupp as partsupp_1 inner join part as part_1 on (partsupp_1.ps_partkey = part_1.p_partkey ) on (orders_1.o_orderkey = part_1.p_partkey ) where part_1.p_type is not NULL limit 20;",YES,""
55,"select region_1.r_comment, region_1.r_name, region_1.provsql, min( region_1.r_regionkey), region_1.r_comment, region_1.provsql, max( region_1.r_regionkey), region_1.provsql, region_1.provsql, region_1.r_regionkey, region_1.r_name, region_1.provsql, region_1.r_comment , provsql.sr_why(provsql.provenance(), 'provmap') from region as region_1 where region_1.r_name is not NULL group by region_1.provsql, region_1.r_comment, region_1.r_name, region_1.r_regionkey limit 29;",YES,""
56,"select supplier_1.s_acctbal, supplier_1.provsql , provsql.sr_why(provsql.provenance(), 'provmap') from supplier as supplier_1 where supplier_1.s_acctbal = supplier_1.s_acctbal limit 28;",YES,""
57,"select part_1.p_name, part_1.p_size, max( part_1.p_size), part_1.p_brand, part_1.p_name, part_1.p_brand, part_1.provsql , provsql.sr_why(provsql.provenance(), 'provmap') from part as part_1 where part_1.provsql > part_1.provsql group by part_1.p_brand, part_1.p_name, part_1.p_size, part_1.provsql limit 24;",YES,""
58,"select supplier_1.provsql, supplier_1.s_acctbal, supplier_1.s_acctbal , provsql.sr_why(provsql.provenance(), 'provmap') from supplier as supplier_1 where supplier_1.provsql >= supplier_1.provsql limit 24;",YES,""
59,"select partsupp_1.ps_comment, partsupp_1.ps_suppkey, customer_2.c_comment, customer_1.c_acctbal, min( partsupp_1.ps_suppkey), customer_1.c_name , provsql.sr_why(provsql.provenance(), 'provmap') from customer as customer_1 inner join customer as customer_2 inner join partsupp as partsupp_1 on (customer_2.c_custkey = partsupp_1.ps_partkey ) on (customer_1.c_custkey = partsupp_1.ps_partkey ) where customer_2.c_nationkey is not NULL group by customer_1.c_acctbal, customer_1.c_name, customer_2.c_comment, partsupp_1.ps_comment, partsupp_1.ps_suppkey limit 39;",YES,""
60,"select min( supplier_1.s_nationkey), supplier_1.s_acctbal, supplier_1.s_nationkey, supplier_1.s_acctbal, supplier_1.s_suppkey, supplier_1.s_comment, supplier_1.s_nationkey, max( supplier_1.s_suppkey), supplier_1.s_address, supplier_1.provsql, supplier_1.s_phone, supplier_1.s_suppkey, min( supplier_1.s_nationkey), supplier_1.s_comment , provsql.sr_why(provsql.provenance(), 'provmap') from supplier as supplier_1 where supplier_1.s_suppkey is not NULL group by supplier_1.provsql, supplier_1.s_acctbal, supplier_1.s_address, supplier_1.s_comment, supplier_1.s_nationkey, supplier_1.s_phone, supplier_1.s_suppkey limit 39;",YES,""
61,"select lineitem_1.l_extendedprice, lineitem_1.l_commitdate, region_1.r_name, supplier_1.s_phone, supplier_1.s_comment, lineitem_1.l_linenumber, min( lineitem_1.l_linenumber), min( lineitem_1.l_partkey) , provsql.sr_why(provsql.provenance(), 'provmap') from region as region_1 inner join lineitem as lineitem_1 on (region_1.r_regionkey = lineitem_1.l_orderkey ) inner join supplier as supplier_1 on (lineitem_1.l_orderkey = supplier_1.s_suppkey ) where lineitem_1.l_receiptdate is not NULL group by lineitem_1.l_commitdate, lineitem_1.l_extendedprice, lineitem_1.l_linenumber, region_1.r_name, supplier_1.s_comment, supplier_1.s_phone limit 39;",YES,""
62,"select max( orders_1.o_orderkey) , provsql.sr_why(provsql.provenance(), 'provmap') from orders as orders_1 where orders_1.o_comment is not NULL limit 29;",YES,""
63,"select min( lineitem_1.l_orderkey), supplier_3.s_acctbal , provsql.sr_why(provsql.provenance(), 'provmap') from supplier as supplier_1 inner join lineitem as lineitem_1 on (supplier_1.s_suppkey = lineitem_1.l_orderkey ) inner join supplier as supplier_2 on (supplier_1.s_suppkey = supplier_2.s_suppkey ) inner join supplier as supplier_3 on (supplier_1.s_suppkey = supplier_3.s_suppkey ) where supplier_3.provsql = supplier_1.provsql group by supplier_3.s_acctbal limit 21;",YES,""
64,"select nation_1.provsql, nation_1.n_nationkey, nation_1.n_comment, nation_1.n_name, min( nation_1.n_nationkey), nation_1.n_name, nation_1.n_regionkey, nation_1.n_comment, max( nation_1.n_regionkey), nation_1.provsql , provsql.sr_why(provsql.provenance(), 'provmap') from nation as nation_1 where nation_1.n_regionkey is not NULL group by nation_1.n_comment, nation_1.n_name, nation_1.n_nationkey, nation_1.n_regionkey, nation_1.provsql limit 40;",YES,""
65,"select region_1.provsql , provsql.sr_why(provsql.provenance(), 'provmap') from region as region_1 where region_1.r_regionkey is not NULL limit 34;",YES,""
66,"select nation_1.provsql, nation_1.n_nationkey, nation_1.n_comment, nation_1.provsql , provsql.sr_why(provsql.provenance(), 'provmap') from nation as nation_1 where nation_1.n_name is not NULL limit 10;",YES,""
67,"select supplier_2.s_suppkey, orders_2.o_clerk, supplier_2.s_comment, supplier_2.s_acctbal , provsql.sr_why(provsql.provenance(), 'provmap') from orders as orders_1 inner join orders as orders_2 inner join supplier as supplier_1 inner join supplier as supplier_2 on (supplier_1.s_suppkey = supplier_2.s_suppkey ) on (orders_2.o_orderkey = supplier_2.s_suppkey ) on (orders_1.o_orderkey = orders_2.o_orderkey ) where orders_2.provsql > supplier_2.provsql limit 17;",YES,""
68,"select region_1.r_comment , provsql.sr_why(provsql.provenance(), 'provmap') from region as region_1 where region_1.r_comment is not NULL limit 4;",YES,""
69,"select partsupp_1.ps_comment, nation_2.n_regionkey, partsupp_2.ps_suppkey , provsql.sr_why(provsql.provenance(), 'provmap') from partsupp as partsupp_1 inner join nation as nation_1 on (partsupp_1.ps_partkey = nation_1.n_nationkey ) inner join orders as orders_1 inner join partsupp as partsupp_2 inner join supplier as supplier_1 inner join supplier as supplier_2 on (supplier_1.s_suppkey = supplier_2.s_suppkey ) on (partsupp_2.ps_partkey = supplier_2.s_suppkey ) on (orders_1.o_orderkey = partsupp_2.ps_partkey ) inner join nation as nation_2 on (supplier_2.s_suppkey = nation_2.n_nationkey ) on (partsupp_1.ps_partkey = partsupp_2.ps_partkey ) where supplier_1.s_nationkey < orders_1.o_orderkey limit 23;",YES,""
70,"select orders_1.o_clerk, max( orders_1.o_custkey), orders_1.o_orderdate, orders_1.provsql, orders_1.o_orderstatus, orders_1.o_comment, min( orders_1.o_custkey), orders_1.o_custkey , provsql.sr_why(provsql.provenance(), 'provmap') from orders as orders_1 where orders_1.provsql = orders_1.provsql group by orders_1.o_clerk, orders_1.o_comment, orders_1.o_custkey, orders_1.o_orderdate, orders_1.o_orderstatus, orders_1.provsql limit 29;",YES,""
71,"select customer_1.c_custkey, customer_1.c_address, customer_1.c_acctbal , provsql.sr_why(provsql.provenance(), 'provmap') from customer as customer_1 where customer_1.c_custkey is not NULL limit 24;",YES,""
72,"select max( lineitem_1.l_linenumber), lineitem_1.l_commitdate, lineitem_1.l_shipmode, lineitem_1.l_commitdate, lineitem_1.l_suppkey, lineitem_1.l_commitdate, lineitem_2.l_tax, lineitem_2.l_extendedprice , provsql.sr_why(provsql.provenance(), 'provmap') from lineitem as lineitem_1 inner join lineitem as lineitem_2 on (lineitem_1.l_orderkey = lineitem_2.l_orderkey ) where lineitem_2.l_suppkey is not NULL group by lineitem_1.l_commitdate, lineitem_1.l_shipmode, lineitem_1.l_suppkey, lineitem_2.l_extendedprice, lineitem_2.l_tax limit 20;",YES,""
73,"select min( customer_1.c_custkey), customer_1.c_comment, customer_1.c_custkey, min( customer_1.c_custkey) , provsql.sr_why(provsql.provenance(), 'provmap') from customer as customer_1 where customer_1.c_custkey is not NULL group by customer_1.c_comment, customer_1.c_custkey limit 41;",YES,""
