id,query,success,error
11,"select postlinks_1.id, max( postlinks_1.creationdate), postlinks_1.id, postlinks_1.creationdate, postlinks_1.postid, postlinks_1.relatedpostid, postlinks_1.linktypeid, min( postlinks_1.linktypeid) from postlinks as postlinks_1 where postlinks_1.postid is not NULL group by postlinks_1.id, postlinks_1.id, postlinks_1.creationdate, postlinks_1.postid, postlinks_1.relatedpostid, postlinks_1.linktypeid limit 32;",YES,""
12,"select postlinks_1.postid, postlinks_1.creationdate from postlinks as postlinks_1 where postlinks_1.relatedpostid >= postlinks_1.linktypeid limit 20;",YES,""
13,"select users_1.websiteurl from users as users_1 inner join comments as comments_1 inner join votes as votes_1 on (comments_1.id = votes_1.id ) on (users_1.id = votes_1.id ) where comments_1.creationdate >= votes_1.creationdate limit 24;",YES,""
14,"select posthistory_1.postid, posthistory_1.revisionguid, posthistory_1.postid, avg( posthistory_1.postid), posthistory_1.comment, posthistory_1.contentlicense, posthistory_1.contentlicense, posthistory_1.creationdate, min( posthistory_1.contentlicense), posthistory_1.postid, posthistory_1.postid, posthistory_1.creationdate, posthistory_1.userid, min( posthistory_1.creationdate) from posthistory as posthistory_1 where posthistory_1.creationdate > posthistory_1.creationdate group by posthistory_1.postid, posthistory_1.revisionguid, posthistory_1.postid, posthistory_1.comment, posthistory_1.contentlicense, posthistory_1.contentlicense, posthistory_1.creationdate, posthistory_1.postid, posthistory_1.postid, posthistory_1.creationdate, posthistory_1.userid limit 26;",YES,""
15,"select badges_1.id, min( votes_1.creationdate), badges_2.userid, badges_1.userid, badges_1.date, avg( users_1.profileimageurl), users_1.creationdate, max( users_1.profileimageurl) from badges as badges_1 inner join votes as votes_1 on (badges_1.id = votes_1.id ) inner join badges as badges_2 on (badges_1.id = badges_2.id ) inner join users as users_1 on (votes_1.id = users_1.id ) inner join comments as comments_1 inner join votes as votes_2 on (comments_1.id = votes_2.id ) on (votes_1.id = comments_1.id ) where badges_2.tagbased >= badges_1.tagbased group by badges_1.id, badges_2.userid, badges_1.userid, badges_1.date, users_1.creationdate limit 29;",YES,""
16,"select sum( comments_1.userid), min( comments_1.userdisplayname), comments_1.userdisplayname, comments_1.contentlicense, comments_1.userdisplayname, sum( comments_1.id) from comments as comments_1 where comments_1.id < comments_1.postid group by comments_1.userdisplayname, comments_1.contentlicense, comments_1.userdisplayname limit 15;",YES,""
17,"select votes_1.id, votes_1.votetypeid from votes as votes_1 where votes_1.creationdate < votes_1.creationdate limit 36;",YES,""
18,"select badges_1.id from badges as badges_1 where badges_1.id is not NULL limit 35;",YES,""
19,"select votes_1.creationdate, votes_1.userid, votes_1.postid, votes_1.postid, votes_1.creationdate from votes as votes_1 where votes_1.creationdate is not NULL limit 10;",YES,""
20,"select count(*), users_1.displayname from users as users_1 where users_1.profileimageurl is not NULL group by users_1.displayname limit 5;",YES,""
21,"select comments_1.userdisplayname, max( comments_1.creationdate), comments_1.postid, count(*), min( comments_1.creationdate), comments_1.userdisplayname, min( comments_1.creationdate), comments_1.userid, comments_1.userid, comments_1.contentlicense, comments_1.userdisplayname, comments_1.userid from comments as comments_1 where comments_1.creationdate > comments_1.creationdate group by comments_1.userdisplayname, comments_1.postid, comments_1.userdisplayname, comments_1.userid, comments_1.userid, comments_1.contentlicense, comments_1.userdisplayname, comments_1.userid limit 1;",YES,""
22,"select badges_1.tagbased, max( posts_1.title), max( users_1.displayname), posts_1.acceptedanswerid, badges_2.name, posts_1.title, postlinks_1.creationdate, badges_1.date, badges_2.name, postlinks_1.relatedpostid from postlinks as postlinks_1 inner join posts as posts_1 on (postlinks_1.id = posts_1.id ) inner join badges as badges_1 inner join badges as badges_2 on (badges_1.id = badges_2.id ) on (posts_1.id = badges_1.id ) inner join users as users_1 on (posts_1.id = users_1.id ) where postlinks_1.linktypeid is not NULL group by badges_1.tagbased, posts_1.acceptedanswerid, badges_2.name, posts_1.title, postlinks_1.creationdate, badges_1.date, badges_2.name, postlinks_1.relatedpostid limit 27;",YES,""
23,"select postlinks_1.creationdate, badges_1.id from badges as badges_1 inner join badges as badges_2 inner join postlinks as postlinks_1 on (badges_2.id = postlinks_1.id ) on (badges_1.id = badges_2.id ) where badges_1.tagbased is not NULL limit 1;",YES,""
24,"select posthistory_1.text from posthistory as posthistory_1 where posthistory_1.contentlicense is not NULL limit 22;",YES,""
25,"select posts_1.posttypeid, comments_1.userdisplayname, max( comments_1.id), max( comments_1.creationdate), comments_1.contentlicense, comments_1.id, posts_1.ownerdisplayname, posts_1.title, max( comments_1.creationdate), comments_1.text, avg( posts_1.posttypeid), posts_1.body from posts as posts_1 inner join comments as comments_1 on (posts_1.id = comments_1.id ) where comments_1.userid is not NULL group by posts_1.posttypeid, comments_1.userdisplayname, comments_1.contentlicense, comments_1.id, posts_1.ownerdisplayname, posts_1.title, comments_1.text, posts_1.body limit 21;",YES,""
26,"select avg( badges_1.class), badges_1.class, badges_1.date, min( users_1.profileimageurl) from users as users_1 inner join badges as badges_1 on (users_1.id = badges_1.id ) where users_1.displayname >= badges_1.name group by badges_1.class, badges_1.date limit 38;",YES,""
27,"select posts_1.owneruserid, count(*) from posts as posts_1 inner join comments as comments_1 on (posts_1.id = comments_1.id ) where posts_1.acceptedanswerid is not NULL group by posts_1.owneruserid limit 23;",YES,""
28,"select users_1.displayname, posthistory_1.creationdate, posthistory_1.userdisplayname, users_1.accountid, users_1.displayname, posthistory_1.id from posthistory as posthistory_1 inner join users as users_1 on (posthistory_1.id = users_1.id ) where posthistory_1.creationdate <= users_1.creationdate limit 14;",YES,""
29,"select votes_1.id from votes as votes_1 where votes_1.creationdate is not NULL limit 41;",YES,""
30,"select postlinks_1.relatedpostid from postlinks as postlinks_1 where postlinks_1.creationdate is not NULL limit 2;",YES,""
31,"select posthistory_1.id, max( posthistory_1.creationdate), posthistory_1.contentlicense, posthistory_1.revisionguid, min( posthistory_1.creationdate), posthistory_1.postid, posthistory_1.postid, min( posthistory_1.id), posthistory_1.postid, posthistory_1.comment from posthistory as posthistory_1 where posthistory_1.id is not NULL group by posthistory_1.id, posthistory_1.contentlicense, posthistory_1.revisionguid, posthistory_1.postid, posthistory_1.postid, posthistory_1.postid, posthistory_1.comment limit 13;",YES,""
32,"select badges_1.class, badges_1.tagbased, badges_1.date, badges_1.id, badges_1.class from badges as badges_1 where badges_1.date is not NULL limit 27;",YES,""
33,"select badges_1.date from badges as badges_1 where badges_1.userid is not NULL limit 27;",YES,""
34,"select comments_1.contentlicense, comments_1.creationdate, comments_1.userdisplayname from comments as comments_1 inner join badges as badges_1 inner join posthistory as posthistory_1 on (badges_1.id = posthistory_1.id ) on (comments_1.id = posthistory_1.id ) inner join comments as comments_2 inner join votes as votes_1 on (comments_2.id = votes_1.id ) on (comments_1.id = votes_1.id ) where badges_1.id is not NULL limit 30;",YES,""
35,"select avg( posts_1.id), posthistory_1.userdisplayname, posts_1.tags, posts_1.posttypeid, posthistory_1.postid from posts as posts_1 inner join posthistory as posthistory_1 on (posts_1.id = posthistory_1.id ) where posts_1.owneruserid is not NULL group by posthistory_1.userdisplayname, posts_1.tags, posts_1.posttypeid, posthistory_1.postid limit 34;",YES,""
36,"select users_1.id from users as users_1 inner join posthistory as posthistory_1 on (users_1.id = posthistory_1.id ) where posthistory_1.posthistorytypeid is not NULL limit 22;",YES,""
37,"select posthistory_1.creationdate, posthistory_1.id, max( posthistory_1.creationdate), posthistory_1.postid, max( posthistory_1.creationdate), posthistory_1.comment from posthistory as posthistory_1 where posthistory_1.text is not NULL group by posthistory_1.creationdate, posthistory_1.id, posthistory_1.postid, posthistory_1.comment limit 32;",YES,""
38,"select posts_1.creationdate, posts_1.tags, posts_1.parentid, count( posts_1.parentid), posts_1.body from posts as posts_1 where posts_1.title <= posts_1.contentlicense group by posts_1.creationdate, posts_1.tags, posts_1.parentid, posts_1.body limit 8;",YES,""
39,"select postlinks_1.id, postlinks_1.postid from postlinks as postlinks_1 where postlinks_1.creationdate is not NULL limit 22;",YES,""
40,"select badges_1.name, badges_1.userid, min( badges_1.date) from badges as badges_1 where badges_1.tagbased is not NULL group by badges_1.name, badges_1.userid limit 26;",YES,""
41,"select users_1.aboutme, users_1.websiteurl, users_1.profileimageurl, users_1.accountid, users_1.creationdate, users_1.location from users as users_1 where users_1.aboutme is not NULL limit 3;",YES,""
42,"select postlinks_1.relatedpostid, postlinks_1.relatedpostid, postlinks_1.creationdate, postlinks_1.creationdate, postlinks_1.linktypeid, postlinks_1.creationdate, postlinks_1.relatedpostid, postlinks_1.linktypeid, postlinks_1.linktypeid, postlinks_1.relatedpostid, postlinks_1.linktypeid, postlinks_1.linktypeid, postlinks_1.id, postlinks_1.relatedpostid, postlinks_1.linktypeid, postlinks_1.linktypeid, postlinks_1.creationdate, postlinks_1.id, postlinks_1.id, postlinks_1.id from postlinks as postlinks_1 where postlinks_1.linktypeid = postlinks_1.postid limit 2;",YES,""
43,"select posts_1.posttypeid from posts as posts_1 where posts_1.creationdate is not NULL limit 7;",YES,""
44,"select min( postlinks_1.creationdate), postlinks_1.relatedpostid, postlinks_1.postid from postlinks as postlinks_1 where postlinks_1.id is not NULL group by postlinks_1.relatedpostid, postlinks_1.postid limit 20;",YES,""
45,"select min( comments_1.contentlicense), comments_1.id from comments as comments_1 where comments_1.contentlicense is not NULL group by comments_1.id limit 24;",YES,""
46,"select votes_1.postid, votes_1.id, votes_1.userid, votes_1.creationdate, votes_1.postid, votes_1.votetypeid, max( votes_1.creationdate), votes_1.votetypeid, votes_1.userid, votes_1.id from votes as votes_1 where votes_1.postid is not NULL group by votes_1.postid, votes_1.id, votes_1.userid, votes_1.creationdate, votes_1.postid, votes_1.votetypeid, votes_1.votetypeid, votes_1.userid, votes_1.id limit 38;",YES,""
47,"select posts_1.owneruserid, min( posts_1.title), posts_1.tags, posts_1.id from posts as posts_1 where posts_1.id is not NULL group by posts_1.owneruserid, posts_1.tags, posts_1.id limit 7;",YES,""
48,"select postlinks_1.relatedpostid, postlinks_1.relatedpostid, avg( postlinks_1.id) from postlinks as postlinks_1 where postlinks_1.relatedpostid is not NULL group by postlinks_1.relatedpostid, postlinks_1.relatedpostid limit 22;",YES,""
49,"select users_1.aboutme, users_1.location, users_1.aboutme, users_1.websiteurl, users_1.id, users_1.profileimageurl from users as users_1 where users_1.accountid is not NULL limit 1;",YES,""
50,"select comments_1.creationdate, comments_1.postid, comments_1.creationdate, comments_1.userdisplayname, comments_1.text, comments_1.postid, comments_1.userid, comments_1.contentlicense, min( comments_1.userdisplayname), comments_1.userid, comments_1.id, comments_1.id, comments_1.creationdate, comments_1.id, comments_1.contentlicense, count( comments_1.postid), comments_1.text, comments_1.id from comments as comments_1 where comments_1.creationdate > comments_1.creationdate group by comments_1.creationdate, comments_1.postid, comments_1.creationdate, comments_1.userdisplayname, comments_1.text, comments_1.postid, comments_1.userid, comments_1.contentlicense, comments_1.userid, comments_1.id, comments_1.id, comments_1.creationdate, comments_1.id, comments_1.contentlicense, comments_1.text, comments_1.id limit 25;",YES,""
51,"select votes_1.userid, users_1.aboutme, users_1.accountid, users_1.id, votes_1.userid, users_1.id, votes_1.votetypeid, users_1.creationdate from users as users_1 inner join votes as votes_1 on (users_1.id = votes_1.id ) where votes_1.postid is not NULL limit 35;",YES,""
52,"select users_1.accountid, users_1.displayname, users_1.id, users_1.websiteurl, users_1.profileimageurl, sum( users_1.profileimageurl), sum( users_1.id) from users as users_1 where users_1.profileimageurl is not NULL group by users_1.accountid, users_1.displayname, users_1.id, users_1.websiteurl, users_1.profileimageurl limit 30;",YES,""
53,"select distinct votes_1.postid, votes_1.creationdate from votes as votes_1 where votes_1.votetypeid is not NULL limit 1;",YES,""
54,"select avg( posts_1.id) from posts as posts_1 inner join posts as posts_2 on (posts_1.id = posts_2.id ) where posts_2.tags < posts_1.title limit 10;",YES,""
55,"select posthistory_1.revisionguid, posthistory_1.postid, posthistory_1.comment, posthistory_1.id from posthistory as posthistory_1 where posthistory_1.id > posthistory_1.posthistorytypeid limit 8;",YES,""
56,"select comments_1.creationdate, comments_1.userdisplayname from comments as comments_1 where comments_1.userid is not NULL limit 19;",YES,""
57,"select comments_1.userid from comments as comments_1 where comments_1.creationdate = comments_1.creationdate limit 17;",YES,""
58,"select min( badges_1.name), badges_1.name, max( badges_1.name) from badges as badges_1 where badges_1.userid is not NULL group by badges_1.name limit 12;",YES,""
59,"select badges_1.tagbased, badges_1.date, badges_1.id, badges_1.userid, badges_1.id from badges as badges_1 where badges_1.date is not NULL limit 33;",YES,""
60,"select min( comments_1.creationdate), postlinks_2.creationdate from comments as comments_1 inner join posts as posts_1 inner join postlinks as postlinks_1 on (posts_1.id = postlinks_1.id ) on (comments_1.id = posts_1.id ) inner join postlinks as postlinks_2 on (comments_1.id = postlinks_2.id ) where postlinks_2.postid is not NULL group by postlinks_2.creationdate limit 34;",YES,""
61,"select max( comments_1.text), comments_1.postid, comments_1.contentlicense, comments_1.contentlicense, comments_1.text, comments_1.contentlicense, comments_1.text, min( comments_1.userid) from comments as comments_1 where comments_1.postid is not NULL group by comments_1.postid, comments_1.contentlicense, comments_1.contentlicense, comments_1.text, comments_1.contentlicense, comments_1.text limit 12;",YES,""
62,"select votes_1.votetypeid from badges as badges_1 inner join votes as votes_1 on (badges_1.id = votes_1.id ) where badges_1.id is not NULL limit 31;",YES,""
63,"select posts_2.creationdate, comments_2.id, comments_2.userdisplayname, posts_2.posttypeid, comments_3.userdisplayname from comments as comments_1 inner join posts as posts_1 on (comments_1.id = posts_1.id ) inner join comments as comments_2 on (comments_1.id = comments_2.id ) inner join posts as posts_2 inner join comments as comments_3 on (posts_2.id = comments_3.id ) on (comments_2.id = posts_2.id ) where comments_3.contentlicense is not NULL limit 34;",YES,""
64,"select min( posthistory_1.posthistorytypeid), comments_1.userdisplayname, comments_1.creationdate, posthistory_2.creationdate, posthistory_2.text, posthistory_1.userdisplayname from posthistory as posthistory_1 inner join postlinks as postlinks_1 inner join posthistory as posthistory_2 on (postlinks_1.id = posthistory_2.id ) inner join comments as comments_1 on (postlinks_1.id = comments_1.id ) on (posthistory_1.id = postlinks_1.id ) where comments_1.creationdate > postlinks_1.creationdate group by comments_1.userdisplayname, comments_1.creationdate, posthistory_2.creationdate, posthistory_2.text, posthistory_1.userdisplayname limit 17;",YES,""
65,"select posts_1.owneruserid, posts_1.parentid, posts_1.acceptedanswerid from posts as posts_1 where posts_1.ownerdisplayname is not NULL limit 7;",YES,""
66,"select posts_1.body, posts_1.body, posts_1.ownerdisplayname, posts_1.acceptedanswerid, max( posts_1.creationdate), posts_1.acceptedanswerid, posts_1.ownerdisplayname, posts_1.id, max( posts_1.posttypeid), posts_1.acceptedanswerid, posts_1.owneruserid, posts_1.acceptedanswerid, posts_1.creationdate, min( posts_1.creationdate), posts_1.contentlicense, posts_1.creationdate, posts_1.contentlicense, posts_1.owneruserid, posts_1.body from posts as posts_1 where posts_1.title is not NULL group by posts_1.body, posts_1.body, posts_1.ownerdisplayname, posts_1.acceptedanswerid, posts_1.acceptedanswerid, posts_1.ownerdisplayname, posts_1.id, posts_1.acceptedanswerid, posts_1.owneruserid, posts_1.acceptedanswerid, posts_1.creationdate, posts_1.contentlicense, posts_1.creationdate, posts_1.contentlicense, posts_1.owneruserid, posts_1.body limit 40;",YES,""
67,"select badges_1.userid, badges_1.userid, badges_1.name, badges_1.class, badges_1.id, avg( badges_1.class), badges_1.tagbased, badges_1.id, badges_1.userid from badges as badges_1 where badges_1.id is not NULL group by badges_1.userid, badges_1.userid, badges_1.name, badges_1.class, badges_1.id, badges_1.tagbased, badges_1.id, badges_1.userid limit 40;",YES,""
68,"select users_1.creationdate, posthistory_1.text, users_1.displayname, posthistory_1.creationdate from posthistory as posthistory_1 inner join users as users_1 on (posthistory_1.id = users_1.id ) where posthistory_1.creationdate >= users_1.creationdate limit 26;",YES,""
69,"select posthistory_1.text, votes_1.votetypeid, badges_1.tagbased, max( posthistory_1.contentlicense), min( posthistory_1.comment), votes_2.creationdate, max( badges_1.date) from posthistory as posthistory_1 inner join votes as votes_1 inner join posts as posts_1 inner join badges as badges_1 on (posts_1.id = badges_1.id ) on (votes_1.id = badges_1.id ) inner join votes as votes_2 inner join comments as comments_1 on (votes_2.id = comments_1.id ) on (badges_1.id = comments_1.id ) on (posthistory_1.id = posts_1.id ) where badges_1.tagbased > badges_1.tagbased group by posthistory_1.text, votes_1.votetypeid, badges_1.tagbased, votes_2.creationdate limit 15;",YES,""
70,"select badges_1.date, badges_1.id, min( badges_1.name), min( badges_1.class), badges_1.id, badges_1.date, badges_1.class, badges_1.tagbased, badges_1.date, badges_1.tagbased from badges as badges_1 where badges_1.date is not NULL group by badges_1.date, badges_1.id, badges_1.id, badges_1.date, badges_1.class, badges_1.tagbased, badges_1.date, badges_1.tagbased limit 41;",YES,""
71,"select postlinks_1.creationdate, posts_1.contentlicense, postlinks_1.linktypeid, posts_1.ownerdisplayname, posts_1.tags, posts_1.creationdate, posts_1.creationdate, postlinks_1.creationdate, postlinks_1.creationdate, posts_2.posttypeid, posts_2.posttypeid, posts_2.contentlicense, posts_1.parentid, postlinks_1.relatedpostid from votes as votes_1 inner join posts as posts_1 inner join posts as posts_2 inner join postlinks as postlinks_1 on (posts_2.id = postlinks_1.id ) on (posts_1.id = posts_2.id ) on (votes_1.id = posts_2.id ) where posts_2.posttypeid is not NULL limit 8;",YES,""
72,"select votes_1.userid, votes_1.votetypeid, posthistory_1.postid, votes_1.votetypeid, votes_1.id from votes as votes_1 inner join posthistory as posthistory_1 on (votes_1.id = posthistory_1.id ) where posthistory_1.id is not NULL limit 31;",YES,""
73,"select posts_1.contentlicense, posthistory_1.id, posthistory_1.text, posts_1.contentlicense from posts as posts_1 inner join posthistory as posthistory_1 on (posts_1.id = posthistory_1.id ) where posthistory_1.creationdate > posts_1.creationdate limit 8;",YES,""
74,"select posts_1.contentlicense, posts_1.creationdate, posts_1.id, min( posts_1.tags), posts_1.tags, posts_1.ownerdisplayname, posts_1.title, posts_1.parentid, posts_1.creationdate, posts_1.tags, posts_1.contentlicense, posts_1.body, posts_1.id, posts_1.owneruserid, posts_1.posttypeid, posts_1.posttypeid, max( posts_1.body) from posts as posts_1 where posts_1.title >= posts_1.contentlicense group by posts_1.contentlicense, posts_1.creationdate, posts_1.id, posts_1.tags, posts_1.ownerdisplayname, posts_1.title, posts_1.parentid, posts_1.creationdate, posts_1.tags, posts_1.contentlicense, posts_1.body, posts_1.id, posts_1.owneruserid, posts_1.posttypeid, posts_1.posttypeid limit 30;",YES,""
75,"select posthistory_1.posthistorytypeid from users as users_1 inner join posthistory as posthistory_1 on (users_1.id = posthistory_1.id ) inner join posthistory as posthistory_2 on (users_1.id = posthistory_2.id ) where posthistory_1.userdisplayname is not NULL limit 37;",YES,""
76,"select max( votes_1.creationdate), votes_1.id, votes_1.id, votes_1.id, votes_1.creationdate, votes_1.votetypeid, votes_1.votetypeid from votes as votes_1 where votes_1.votetypeid <= votes_1.userid group by votes_1.id, votes_1.id, votes_1.id, votes_1.creationdate, votes_1.votetypeid, votes_1.votetypeid limit 3;",YES,""
77,"select posts_1.contentlicense, min( posts_2.title), posts_1.tags, posts_1.ownerdisplayname, posts_3.title from posts as posts_1 inner join posts as posts_2 on (posts_1.id = posts_2.id ) inner join comments as comments_1 inner join posts as posts_3 on (comments_1.id = posts_3.id ) inner join comments as comments_2 on (posts_3.id = comments_2.id ) on (posts_1.id = comments_1.id ) where comments_1.userid is not NULL group by posts_1.contentlicense, posts_1.tags, posts_1.ownerdisplayname, posts_3.title limit 35;",YES,""
78,"select users_1.id, users_1.creationdate, count( users_1.websiteurl) from users as users_1 where users_1.accountid is not NULL group by users_1.id, users_1.creationdate limit 32;",YES,""
79,"select postlinks_1.postid from postlinks as postlinks_1 inner join posthistory as posthistory_1 inner join votes as votes_1 on (posthistory_1.id = votes_1.id ) inner join badges as badges_1 on (posthistory_1.id = badges_1.id ) on (postlinks_1.id = badges_1.id ) where posthistory_1.userdisplayname is not NULL limit 30;",YES,""
80,"select users_1.displayname, users_1.websiteurl, users_1.profileimageurl, users_1.accountid, users_1.id, users_1.accountid, avg( users_1.accountid), users_1.displayname, users_1.profileimageurl, max( users_1.id), count( users_1.id), users_1.accountid, min( users_1.creationdate) from users as users_1 where users_1.websiteurl is not NULL group by users_1.displayname, users_1.websiteurl, users_1.profileimageurl, users_1.accountid, users_1.id, users_1.accountid, users_1.displayname, users_1.profileimageurl, users_1.accountid limit 33;",YES,""
81,"select users_1.creationdate from users as users_1 where users_1.location > users_1.aboutme limit 18;",YES,""
82,"select posts_1.contentlicense, posts_1.title, comments_1.postid, max( posts_1.body), postlinks_1.relatedpostid from votes as votes_1 inner join comments as comments_1 on (votes_1.id = comments_1.id ) inner join postlinks as postlinks_1 on (comments_1.id = postlinks_1.id ) inner join posts as posts_1 on (votes_1.id = posts_1.id ) where votes_1.id is not NULL group by posts_1.contentlicense, posts_1.title, comments_1.postid, postlinks_1.relatedpostid limit 15;",YES,""
83,"select votes_1.postid, min( votes_1.creationdate), votes_1.id from votes as votes_1 where votes_1.id is not NULL group by votes_1.postid, votes_1.id limit 21;",YES,""
84,"select postlinks_1.postid, votes_1.postid, votes_1.postid, votes_1.postid, max( postlinks_1.creationdate), count( votes_1.userid), postlinks_1.creationdate from votes as votes_1 inner join postlinks as postlinks_1 on (votes_1.id = postlinks_1.id ) where votes_1.userid < votes_1.id group by postlinks_1.postid, votes_1.postid, votes_1.postid, votes_1.postid, postlinks_1.creationdate limit 2;",YES,""
85,"select posthistory_1.userid, min( posthistory_1.creationdate) from comments as comments_1 inner join posthistory as posthistory_1 on (comments_1.id = posthistory_1.id ) inner join postlinks as postlinks_1 on (posthistory_1.id = postlinks_1.id ) inner join posts as posts_1 on (comments_1.id = posts_1.id ) where postlinks_1.creationdate is not NULL group by posthistory_1.userid limit 6;",YES,""
86,"select comments_1.userid, votes_2.userid, max( comments_1.userdisplayname), max( comments_1.text), votes_2.creationdate, comments_1.id, min( badges_1.date), votes_1.votetypeid, votes_1.creationdate, votes_1.creationdate, votes_1.votetypeid, votes_2.userid, comments_1.id, badges_1.id, votes_1.userid from badges as badges_1 inner join votes as votes_1 inner join comments as comments_1 inner join votes as votes_2 on (comments_1.id = votes_2.id ) on (votes_1.id = comments_1.id ) on (badges_1.id = votes_1.id ) where badges_1.tagbased is not NULL group by comments_1.userid, votes_2.userid, votes_2.creationdate, comments_1.id, votes_1.votetypeid, votes_1.creationdate, votes_1.creationdate, votes_1.votetypeid, votes_2.userid, comments_1.id, badges_1.id, votes_1.userid limit 14;",YES,""
87,"select users_1.aboutme, users_1.id, users_1.location, count(*), users_1.profileimageurl, users_1.profileimageurl, max( users_1.creationdate), max( users_1.id), users_1.websiteurl, users_1.displayname, users_1.profileimageurl, users_1.location, users_1.displayname, users_1.profileimageurl from users as users_1 where users_1.creationdate is not NULL group by users_1.aboutme, users_1.id, users_1.location, users_1.profileimageurl, users_1.profileimageurl, users_1.websiteurl, users_1.displayname, users_1.profileimageurl, users_1.location, users_1.displayname, users_1.profileimageurl limit 11;",YES,""
